Brand,Material,Finish ,ID ,Link,Descriptors
Moz,Metal,Classic Clear Fog,0,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_fog_main.jpg,"Medium Grey, Fog, Brushed, subtle, neutral"
Moz,Metal,Classic Clear Mist,1,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_mist_main.jpg,"Medium Grey, Mist, Soft, neutral"
Moz,Metal,Classic Clear Silk,2,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Clear_Silk_skumain.jpg,"Medium Grey, Straight, neutral"
Moz,Metal,Classic Clear Coarse,3,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_coarse_main.jpg,"Medium Grey, Course, neutral"
Moz,Metal,Classic Clear Bamboo,4,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_bamboo_main.jpg,"Medium Grey, Bamboo, neutral"
Moz,Metal,Classic Clear Kelp,5,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_kelp_main.jpg,"Medium Grey, Kelp, Busy, Overlapping, neutral"
Moz,Metal,Classic Clear Ripples,6,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_ripples_main.jpg,"Medium Grey, Ripples, waves, neutral"
Moz,Metal,Classic Clear Clouds,7,https://mozdesigns.com/wp-content/uploads/2017/05/classic_clear_clouds_main.jpg,"Medium Grey, Clouds, Busy, Random, neutral"
Moz,Metal,Classic Graphite Fog,8,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Graphite_Fog_main.jpg,"Grey, Dark Grey, Fog, brushed, subtle, neutral"
Moz,Metal,Classic Graphite Coarse,9,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Graphite_Coarse_main.jpg,"Grey, Dark Grey, course, subtle, neutral"
Moz,Metal,Classic Graphite Bamboo,10,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Graphite_Bamboo_main.jpg,"Grey, Dark Grey, Bamboo, Busy, neutral"
Moz,Metal,Classic Graphite Clouds,11,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Graphite_Clouds_main.jpg,"Grey, Dark Grey, Clouds, Busy, Random, neutral"
Moz,Metal,Classic Ebony Fog,12,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Ebony_Fog_main.jpg,"Very Dark Grey, Fog, Brushed, subtle, elegant, deep grey, neutral"
Moz,Metal,Classic Ebony Coarse,13,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Ebony_Coarse_main.jpg,"Very Dark Grey, course, subtle, elegant, deep grey, neutral"
Moz,Metal,Classic Ebony Bamboo,14,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Ebony_Bamboo_main.jpg,"Very Dark Grey,Bamboo, elegant, deep grey, neutral"
Moz,Metal,Classic Ebony Clouds,15,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Ebony_Clouds_main.jpg,"Very Dark Grey, Clouds, busy, random, intense, deep grey, neutral"
Moz,Metal,Classic Ivory Fog,16,https://mozdesigns.com/wp-content/uploads/2018/07/Classic_Ivory_Fog_main.jpg,"White, Very light grey, neutral, Fog, Brushed, elegant"
Moz,Metal,Classic Ivory Coarse,17,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_Clear_Coarse_main.jpg,"White, Very light grey, neutral, Course, elegant"
Moz,Metal,Classic Ivory Bamboo,18,https://mozdesigns.com/wp-content/uploads/2018/07/Classic_Ivory_Bamboo_main.jpg,"White, Very light grey, neutral, Bamboo, busy"
Moz,Metal,Classic Ivory Clouds,19,https://mozdesigns.com/wp-content/uploads/2018/07/Classic_Ivory_Clouds_main.jpg,"White, Very light grey, neutral, clouds,intense, random"
Moz,Metal,Classic Lt Pewter Fog,20,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_LtPewter_Fog_main.jpg,"Light Blue Grey, Light Pewter, Neutral, blue, elegant, light, brushed, Fog"
Moz,Metal,Classic Lt Pewter Coarse,21,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_LtPewter_Coarse_main.jpg,"Light Blue Grey, Light Pewter, Neutral, blue, elegant, light, brushed, course"
Moz,Metal,Classic Lt Pewter Bamboo,22,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_LtPewter_Bamboo_main.jpg,"Light Blue Grey, Light Pewter, Neutral, blue, busy, Bamboo"
Moz,Metal,Classic Lt Pewter Cloud,23,https://mozdesigns.com/wp-content/uploads/2017/05/Classic_LtPewter_Clouds_main.jpg,"Light Blue Grey, Light Pewter, Neutral, blue, busy, light, brushed, Cloud"
