Brand,Pattern,Key,Descriptors
Moz,Cascade A,0,"Rhombus, angular, cascade, triad, gradient, fade, geometric, hexagonal, tessellated"
Moz,Cascade B,1,"Rhombus, angular, cascade, triad, gradient, fade, geometric, hexagonal, tessellated"
Moz,Cascade C,2,"Rhombus, angular, cascade, triad, gradient, fade, geometric, hexagonal, tessellated"
Moz,Cyber,3,"square, pixels, blocky, varying, abstract, pixelated, modular, repetitive, grid, low resolution, high-contrast"
Moz,Dune A,4,"circle, round, density gradient, organic, varying, abstract, dots, fading, high-contrast, subtle"
Moz,Dune B,5,"circle, round, density gradient, organic, varying, abstract, dots, fading, high-contrast, subtle"
Moz,Dune C,6,"circle, round, density gradient, organic, varying, abstract, dots, fading, high-contrast, subtle"
Moz,Flights A,7,"geometric, Grid, Abstract, Angular, Overlapping, Layered, Contrast, Structured, squares"
Moz,Flights B,8,"geometric, Grid, Abstract, Angular, Overlapping, Layered, Contrast, Structured, squares"
Moz,Flights C,9,"geometric, Grid, Abstract, Angular, Overlapping, Layered, Contrast, Structured, squares"
Moz,Grove A,10,"Perforated, Organic, Trees, Branches, Nature, Abstract, Gradient, Shadows, High-Contrast, Layered, Segmented, Biomorphic, Silhouette"
Moz,Grove B,11,"Perforated, Organic, Trees, Branches, Nature, Abstract, Gradient, Shadows, High-Contrast, Layered, Segmented, Biomorphic, Silhouette"
Moz,Grove C,12,"Perforated, Organic, Trees, Branches, Nature, Abstract, Gradient, Shadows, High-Contrast, Layered, Segmented, Biomorphic, Silhouette"
Moz,Harvest,13,"Geometric, Angular, Abstract, Dynamic, Directional, High-Contrast, modern, Repetitive, Layered, Tessellated"
Moz,Jungle,14,"Organic, Flowing, Abstract, Curved, Dynamic, High-Contrast, Layered, Wind, Motion, Nature-Inspired, Fluid"
Moz,Mosaic,15,"Organic, Abstract, Cellular, Irregular, High-Contrast, Biomorphic, Fragmented, Fluid, Natural, Network, Flow"
Moz,Twinkle,16,"Dots, Gradient, Abstract, Organic, High-Contrast, Halftone, Pixelated, Randomized, Smooth, Minimal"
Moz,Wind,17,"Dots, Organic, Abstract, Gradient, High-Contrast, Biomorphic, Flowing, Subtle, Textured, Natural"
Turf,F2,18,"Geometric, Plus-Sign, Modular, Grid, Structured, Repetitive, High-Contrast, Symmetric, Tiled, Abstract, Ordered"
Turf,F3,19,"Geometric, Arrows, Directional, Modular, Grid, Structured, Repetitive, High-Contrast, Tiled, Ordered"
Turf,F4,20,"Geometric, Gradient, Diamonds, Modular, Structured, Repetitive, High-Contrast, Patterned, Fade, Tiled, Transition, Ordered"
Turf,F5,21,"Geometric, Gradient, Rectangular, Modular, Structured, Repetitive, High-Contrast, Fade, Tiled, Transition, Scaling, Ordered"
Turf,F6,22,"Geometric, Diagonal, Rectangular, Modular, Structured, Repetitive, High-Contrast, Transition, Scaling, Ordered, Fragmented, Dynamic"
Turf,F7,23,"Vertical, Rounded, Linear, Organic, Asymmetrical, High-Contrast, Spaced, Flowing, Minimal, Randomized, Ordered, Repetitive, Cylindrical, pill shape"
